Company,Ticker,Country,Band,Sector,Reason
RELX plc,REL.L,UK,Mega,Information Services,Proprietary data and analytics embedded in legal scientific and risk workflows
Experian plc,EXPN.L,UK,Large,Information Services,Credit bureau data with regulatory barriers to entry
Auto Trader Group plc,AUTO.L,UK,Mid,Information Services,Online vehicle marketplace with network-effect dynamics
Rightmove plc,RMV.L,UK,Mid,Information Services,UK property listings marketplace with incumbent network effects
RM plc,RM.L,UK,Small,Information Services,Education resources and digital publishing facing structural sector pressure
Future plc,FUTR.L,UK,Small,Information Services,Digital media and publishing facing advertising-market volatility
S&P Global Inc,SPGI,US,Mega,Information Services,Credit ratings and index business with regulatory and network barriers
Moody's Corp,MCO,US,Large,Information Services,Ratings duopoly participant with high recurring revenue
MSCI Inc,MSCI,US,Large,Information Services,Index licensing embedded in institutional asset allocation
Verisk Analytics Inc,VRSK,US,Large,Information Services,Proprietary insurance-industry data with high renewal rates
Equifax Inc,EFX,US,Large,Information Services,Consumer credit bureau data comparable to Experian
FactSet Research Systems,FDS,US,Mid,Information Services,Subscription financial data terminal facing competitive intensity
Gartner Inc,IT,US,Large,Information Services,Subscription research and advisory with high renewal rates
TransUnion,TRU,US,Mid,Information Services,Consumer and commercial credit data comparable to Equifax and Experian
Sage Group plc,SGE.L,UK,Large,Software & Technology,SMB accounting and ERP software with subscription switching costs
Softcat plc,SCT.L,UK,Mid,Software & Technology,IT infrastructure reseller and services with recurring customer relationships
Computacenter plc,CCC.L,UK,Mid,Software & Technology,IT services and technology reseller with embedded enterprise relationships
Bytes Technology Group,BYIT.L,UK,Small,Software & Technology,Software and IT services reseller with recurring licensing revenue
NCC Group plc,NCC.L,UK,Small,Software & Technology,Cybersecurity assurance services with historically volatile margins
Trustpilot Group plc,TRST.L,UK,Small,Software & Technology,Online reviews platform with network effects but intense competition
Microsoft Corp,MSFT,US,Mega,Software & Technology,Ubiquitous enterprise software ecosystem
Adobe Inc,ADBE,US,Large,Software & Technology,Creative and document software with subscription lock-in
Intuit Inc,INTU,US,Large,Software & Technology,SMB and consumer tax and accounting software with network effects
ServiceNow Inc,NOW,US,Large,Software & Technology,Enterprise workflow platform with high switching costs once implemented
Autodesk Inc,ADSK,US,Large,Software & Technology,Design and engineering software with industry-standard file formats
